ID;Descricao;Nome
1;"user_id=""TIERLAC""";TIERLAC
2;"user_id=""LUMILANV""";LUMILANV
3;"user_id=""LUMILANV""";LUMILANV
4;"user_id=""ROSICLEIAF""";ROSICLEIAF
5;"user_id=""ROSICLEIAF""";ROSICLEIAF
6;"user_id=""JEANSM""";JEANSM
7;"user_id=""JEANSM""";JEANSM
10;"user_id=""LUMILANV""";LUMILANV
11;"user_id=""LUMILANV""";LUMILANV
12;"user_id=""TIERLAC""";TIERLAC
13;"user_id=""DENIS""";DENIS
14;"user_id=""DENIS""";DENIS
15;"user_id=""JEANSM""";JEANSM
16;"user_id=""JEANSM""";JEANSM
17;"user_id=""JANAINAD""";JANAINAD
18;"user_id=""JANAINAD""";JANAINAD
19;"user_id=""FERNANDASO""";FERNANDASO
20;"user_id=""FERNANDASO""";FERNANDASO
21;"user_id=""FERNANDASO""";FERNANDASO
22;"user_id=""JANAINAD""";JANAINAD
23;"user_id=""JANAINAD""";JANAINAD
24;"user_id=""JANAINAD""";JANAINAD
25;"user_id=""FERNANDASO""";FERNANDASO
26;"user_id=""JANAINAD""";JANAINAD
27;"user_id=""JANAINAD""";JANAINAD
28;"user_id=""JANAINAD""";JANAINAD
29;"user_id=""JANAINAD""";JANAINAD
30;"user_id=""JANAINAD""";JANAINAD
31;"user_id=""JANAINAD""";JANAINAD
32;"user_id=""LUMILANV""";LUMILANV
33;"user_id=""JANAINAD""";JANAINAD
34;"user_id=""LUMILANV""";LUMILANV
35;"user_id=""JANAINAD""";JANAINAD
36;"user_id=""JANAINAD""";JANAINAD
37;"user_id=""JANAINAD""";JANAINAD
38;"user_id=""LUMILANV""";LUMILANV
39;"user_id=""JANAINAD""";JANAINAD
40;"user_id=""JANAINAD""";JANAINAD
41;"user_id=""MARA""";MARA
42;"user_id=""JANAINAD""";JANAINAD
43;"user_id=""JANAINAD""";JANAINAD
44;"user_id=""MARA""";MARA
45;"user_id=""JANAINAD""";JANAINAD
46;"user_id=""JANAINAD""";JANAINAD
47;"user_id=""JANAINAD""";JANAINAD
48;"user_id=""JANAINAD""";JANAINAD
49;"user_id=""JANAINAD""";JANAINAD
50;"user_id=""JANAINAD""";JANAINAD
51;"user_id=""JANAINAD""";JANAINAD
52;"user_id=""JANAINAD""";JANAINAD
53;"user_id=""JANAINAD""";JANAINAD
54;"user_id=""TIERLAC""";TIERLAC
55;"user_id=""JANAINAD""";JANAINAD
56;"user_id=""JANAINAD""";JANAINAD
57;"user_id=""JANAINAD""";JANAINAD
58;"user_id=""JANAINAD""";JANAINAD
59;"user_id=""JANAINAD""";JANAINAD
60;"user_id=""JANAINAD""";JANAINAD
61;"user_id=""JANAINAD""";JANAINAD
62;"user_id=""JANAINAD""";JANAINAD
63;"user_id=""JANAINAD""";JANAINAD
64;"user_id=""JANAINAD""";JANAINAD
65;"user_id=""DENIS""";DENIS
66;"user_id=""JEANSM""";JEANSM
67;"user_id=""JEANSM""";JEANSM
68;"user_id=""FERNANDASO""";FERNANDASO
69;"user_id=""FERNANDASO""";FERNANDASO
70;"user_id=""LUMILANV""";LUMILANV
71;"user_id=""LUMILANV""";LUMILANV
72;"user_id=""JANAINAD""";JANAINAD
73;"user_id=""JANAINAD""";JANAINAD
74;"user_id=""LUMILANV""";LUMILANV
75;"user_id=""JANAINAD""";JANAINAD
76;"user_id=""JANAINAD""";JANAINAD
77;"user_id=""JANAINAD""";JANAINAD
78;"user_id=""JANAINAD""";JANAINAD
79;"user_id=""MARA""";MARA
80;"user_id=""SAMUELD""";SAMUELD
81;"user_id=""SAMUELD""";SAMUELD
82;"user_id=""JANAINAD""";JANAINAD
83;"user_id=""JANAINAD""";JANAINAD
84;"user_id=""JANAINAD""";JANAINAD
85;"user_id=""JANAINAD""";JANAINAD
86;"user_id=""JANAINAD""";JANAINAD
87;"user_id=""JANAINAD""";JANAINAD
88;"user_id=""TIERLAC""";TIERLAC
89;"user_id=""DENIS""";DENIS
90;"user_id=""PILARCD""";PILARCD
91;"user_id=""PILARCD""";PILARCD
92;"user_id=""PILARCD""";PILARCD
93;"user_id=""FERNANDASO""";FERNANDASO
94;"user_id=""FERNANDASO""";FERNANDASO
95;"user_id=""LUMILANV""";LUMILANV
96;"user_id=""LUMILANV""";LUMILANV
97;"user_id=""LUMILANV""";LUMILANV
98;"user_id=""MARA""";MARA
99;"user_id=""SAMUELD""";SAMUELD
100;"user_id=""JANAINAD""";JANAINAD
101;"user_id=""JANAINAD""";JANAINAD
102;"user_id=""JANAINAD""";JANAINAD
103;"user_id=""JANAINAD""";JANAINAD
104;"user_id=""JANAINAD""";JANAINAD
105;"user_id=""PILARCD""";PILARCD
106;"user_id=""JANAINAD""";JANAINAD
107;"user_id=""JANAINAD""";JANAINAD
108;"user_id=""JANAINAD""";JANAINAD
109;"user_id=""JANAINAD""";JANAINAD
110;"user_id=""JANAINAD""";JANAINAD
111;"user_id=""JANAINAD""";JANAINAD
112;"user_id=""JANAINAD""";JANAINAD
113;"user_id=""JANAINAD""";JANAINAD
114;"user_id=""JANAINAD""";JANAINAD
115;"user_id=""JANAINAD""";JANAINAD
116;"user_id=""JANAINAD""";JANAINAD
117;"user_id=""DENIS""";DENIS
118;"user_id=""PILARCD""";PILARCD
119;"user_id=""FERNANDASO""";FERNANDASO
